tag,step,wall_time,value
loss/train,1,1783217276.9557667,0.0021779120434075594
loss/train,2,1783220339.7923641,0.0021705934777855873
loss/train,3,1783223397.2800663,0.002167788567021489
loss/train,4,1783226451.7763445,0.002172005595639348
loss/ema_val,5,1783230094.5960555,0.0023265830241143703
loss/ema_val_denorm,5,1783230094.5960615,0.03493712469935417
loss/train,5,1783229500.710588,0.0021719879005104303
loss/val,5,1783230094.5959961,0.0023911213502287865
loss/val_denorm,5,1783230094.5960488,0.03580887243151665
loss/val_denorm_lead/lead_01,5,1783230094.5960763,0.012533118017017841
loss/val_denorm_lead/lead_02,5,1783230094.5960894,0.020668765529990196
loss/val_denorm_lead/lead_03,5,1783230094.613463,0.027694886550307274
loss/val_denorm_lead/lead_04,5,1783230094.6313689,0.03409391641616821
loss/val_denorm_lead/lead_05,5,1783230094.6511002,0.04000706598162651
loss/val_denorm_lead/lead_06,5,1783230094.6743052,0.045492738485336304
loss/val_denorm_lead/lead_07,5,1783230094.6983786,0.05060124397277832
loss/val_denorm_lead/lead_08,5,1783230094.7230597,0.05537924915552139
loss/val_denorm_lead_var/siconc/lead_01,5,1783230094.7699344,0.0025226937141269445
loss/val_denorm_lead_var/siconc/lead_02,5,1783230094.990649,0.0041249594651162624
loss/val_denorm_lead_var/siconc/lead_03,5,1783230095.0017884,0.005325084552168846
loss/val_denorm_lead_var/siconc/lead_04,5,1783230095.0167186,0.006290535908192396
loss/val_denorm_lead_var/siconc/lead_05,5,1783230095.2398658,0.007091626524925232
loss/val_denorm_lead_var/siconc/lead_06,5,1783230095.2618499,0.007764964364469051
loss/val_denorm_lead_var/siconc/lead_07,5,1783230095.2795537,0.008333844132721424
loss/val_denorm_lead_var/siconc/lead_08,5,1783230095.2995389,0.008815663866698742
loss/val_denorm_lead_var/sithick/lead_01,5,1783230095.541173,0.0030712548177689314
loss/val_denorm_lead_var/sithick/lead_02,5,1783230095.5605774,0.00484288576990366
loss/val_denorm_lead_var/sithick/lead_03,5,1783230095.5780165,0.006173398345708847
loss/val_denorm_lead_var/sithick/lead_04,5,1783230095.5950074,0.007300335448235273
loss/val_denorm_lead_var/sithick/lead_05,5,1783230095.61379,0.008304170332849026
loss/val_denorm_lead_var/sithick/lead_06,5,1783230095.6333756,0.009223060682415962
loss/val_denorm_lead_var/sithick/lead_07,5,1783230095.6578197,0.010081127285957336
loss/val_denorm_lead_var/sithick/lead_08,5,1783230095.6782038,0.010888624005019665
loss/val_denorm_lead_var/so/lead_01,5,1783230097.3193507,0.008149968460202217
loss/val_denorm_lead_var/so/lead_02,5,1783230097.3407764,0.013507024385035038
loss/val_denorm_lead_var/so/lead_03,5,1783230097.36059,0.018025372177362442
loss/val_denorm_lead_var/so/lead_04,5,1783230097.3783655,0.022076742723584175
loss/val_denorm_lead_var/so/lead_05,5,1783230097.3891494,0.02577933855354786
loss/val_denorm_lead_var/so/lead_06,5,1783230097.608255,0.0291900672018528
loss/val_denorm_lead_var/so/lead_07,5,1783230097.6299381,0.032352264970541
loss/val_denorm_lead_var/so/lead_08,5,1783230097.649627,0.03529941290616989
loss/val_denorm_lead_var/thetao/lead_01,5,1783230096.5371985,0.03062339313328266
loss/val_denorm_lead_var/thetao/lead_02,5,1783230096.5603082,0.052032314240932465
loss/val_denorm_lead_var/thetao/lead_03,5,1783230096.78513,0.07092062383890152
loss/val_denorm_lead_var/thetao/lead_04,5,1783230096.8087547,0.0882943868637085
loss/val_denorm_lead_var/thetao/lead_05,5,1783230097.0324824,0.10441575199365616
loss/val_denorm_lead_var/thetao/lead_06,5,1783230097.0461392,0.11940927803516388
loss/val_denorm_lead_var/thetao/lead_07,5,1783230097.0639694,0.13339272141456604
loss/val_denorm_lead_var/thetao/lead_08,5,1783230097.2799451,0.14647917449474335
loss/val_denorm_lead_var/uo/lead_01,5,1783230097.6841357,0.008617285639047623
loss/val_denorm_lead_var/uo/lead_02,5,1783230097.7045643,0.011067568324506283
loss/val_denorm_lead_var/uo/lead_03,5,1783230097.7249808,0.013238952495157719
loss/val_denorm_lead_var/uo/lead_04,5,1783230097.7398086,0.015302167274057865
loss/val_denorm_lead_var/uo/lead_05,5,1783230097.7517989,0.017315838485956192
loss/val_denorm_lead_var/uo/lead_06,5,1783230097.764906,0.019257770851254463
loss/val_denorm_lead_var/uo/lead_07,5,1783230097.7798316,0.021086448803544044
loss/val_denorm_lead_var/uo/lead_08,5,1783230097.7963893,0.0228304211050272
loss/val_denorm_lead_var/vo/lead_01,5,1783230097.8369956,0.008663780987262726
loss/val_denorm_lead_var/vo/lead_02,5,1783230097.859347,0.011396139860153198
loss/val_denorm_lead_var/vo/lead_03,5,1783230097.8814242,0.013891310431063175
loss/val_denorm_lead_var/vo/lead_04,5,1783230097.9049037,0.01626606471836567
loss/val_denorm_lead_var/vo/lead_05,5,1783230097.9256704,0.01858912780880928
loss/val_denorm_lead_var/vo/lead_06,5,1783230097.9468756,0.02083771489560604
loss/val_denorm_lead_var/vo/lead_07,5,1783230097.970175,0.022967778146266937
