tag,step,wall_time,value
loss/train,1,1783027456.2375124,0.0016471061389893293
loss/train,2,1783029128.062426,0.001623835414648056
loss/train,3,1783030793.1682508,0.0016133226454257965
loss/train,4,1783032456.1706288,0.0016098974738270044
loss/ema_val,5,1783034524.4153526,0.0017245764611288905
loss/ema_val_denorm,5,1783034524.4153597,0.024561360478401184
loss/train,5,1783034124.3949285,0.0016061628703027964
loss/val,5,1783034524.415258,0.001746159279718995
loss/val_denorm,5,1783034524.4153442,0.024782216176390648
loss/val_denorm_lead/lead_01,5,1783034524.415379,0.012690522707998753
loss/val_denorm_lead/lead_02,5,1783034524.4153974,0.021441997960209846
loss/val_denorm_lead/lead_03,5,1783034524.4318068,0.029054326936602592
loss/val_denorm_lead/lead_04,5,1783034524.4489472,0.035942018032073975
loss/val_denorm_lead_var/siconc/lead_01,5,1783034524.4787486,0.002497189911082387
loss/val_denorm_lead_var/siconc/lead_02,5,1783034524.694758,0.004107165150344372
loss/val_denorm_lead_var/siconc/lead_03,5,1783034524.707163,0.005321149248629808
loss/val_denorm_lead_var/siconc/lead_04,5,1783034524.7226737,0.006309932097792625
loss/val_denorm_lead_var/sithick/lead_01,5,1783034524.7503724,0.002972444286569953
loss/val_denorm_lead_var/sithick/lead_02,5,1783034524.7621753,0.004815375432372093
loss/val_denorm_lead_var/sithick/lead_03,5,1783034524.7772942,0.006218324415385723
loss/val_denorm_lead_var/sithick/lead_04,5,1783034524.7930136,0.007412061560899019
loss/val_denorm_lead_var/so/lead_01,5,1783034525.0222523,0.008081676438450813
loss/val_denorm_lead_var/so/lead_02,5,1783034525.0333283,0.013735909946262836
loss/val_denorm_lead_var/so/lead_03,5,1783034525.0463283,0.01857791282236576
loss/val_denorm_lead_var/so/lead_04,5,1783034525.059454,0.022926656529307365
loss/val_denorm_lead_var/thetao/lead_01,5,1783034524.9507446,0.03148462623357773
loss/val_denorm_lead_var/thetao/lead_02,5,1783034524.9649196,0.05453266575932503
loss/val_denorm_lead_var/thetao/lead_03,5,1783034524.979773,0.07496490329504013
loss/val_denorm_lead_var/thetao/lead_04,5,1783034524.9963193,0.09359265863895416
loss/val_denorm_lead_var/uo/lead_01,5,1783034525.1024957,0.008474666625261307
loss/val_denorm_lead_var/uo/lead_02,5,1783034525.1165857,0.011526641435921192
loss/val_denorm_lead_var/uo/lead_03,5,1783034525.1291275,0.014141403138637543
loss/val_denorm_lead_var/uo/lead_04,5,1783034525.1436625,0.016527069732546806
loss/val_denorm_lead_var/vo/lead_01,5,1783034525.1742313,0.00860772654414177
loss/val_denorm_lead_var/vo/lead_02,5,1783034525.1908133,0.012105637229979038
loss/val_denorm_lead_var/vo/lead_03,5,1783034525.2097583,0.015123429708182812
loss/val_denorm_lead_var/vo/lead_04,5,1783034525.2282717,0.01786426082253456
loss/val_denorm_lead_var/zos/lead_01,5,1783034524.8280094,0.006054589990526438
loss/val_denorm_lead_var/zos/lead_02,5,1783034524.8433018,0.009073575958609581
loss/val_denorm_lead_var/zos/lead_03,5,1783034524.858733,0.011361166834831238
loss/val_denorm_lead_var/zos/lead_04,5,1783034524.8784056,0.013332135044038296
loss/val_denorm_var/siconc,5,1783034524.4636793,0.004558859393000603
