tag,step,wall_time,value
loss/val_norm_var/thetao,5,1782875395.460654,0.001495390199124813
loss/val_norm_var/uo,5,1782875395.5277584,0.007944491691887379
loss/val_norm_var/vo,5,1782875395.559297,0.008622944355010986
loss/val_norm_var/zos,5,1782875395.4255962,0.0025454824790358543
loss/val_var/siconc,5,1782875395.3624687,0.00412215618416667
loss/val_var/sithick,5,1782875395.3845012,0.0007528425776399672
loss/val_var/so,5,1782875395.4889705,0.00034632167080417275
loss/val_var/thetao,5,1782875395.4551606,0.001495390199124813
loss/val_var/uo,5,1782875395.5226173,0.007944491691887379
loss/val_var/vo,5,1782875395.554339,0.008622944355010986
loss/val_var/zos,5,1782875395.4192383,0.0025454824790358543
loss/train,6,1782875695.4810483,0.001453846343792975
loss/train,6,1782878703.7833993,0.0014528882456943393
loss/train,6,1782881579.5500796,0.0014524584403261542
loss/train,7,1782875994.2979205,0.001402383204549551
loss/train,7,1782881876.3645434,0.0014014019398018718
loss/train,8,1782876328.396692,0.0013653504429385066
loss/train,8,1782882174.6574318,0.0013636458897963166
loss/train,9,1782876627.4458628,0.001334423664957285
loss/train,9,1782882470.8477292,0.001334241358563304
loss/ema_val,10,1782882833.4828582,0.0013545636320486665
loss/ema_val_denorm,10,1782882833.4828637,0.016347190365195274
loss/train,10,1782882769.6851082,0.0013105415273457766
loss/val,10,1782882833.4827907,0.0013226756127551198
loss/val_denorm,10,1782882833.4828513,0.015955021604895592
loss/val_denorm_lead/lead_01,10,1782882833.482877,0.015955021604895592
loss/val_denorm_lead_var/siconc/lead_01,10,1782882833.583721,0.0040079629980027676
loss/val_denorm_lead_var/sithick/lead_01,10,1782882833.6227512,0.005483150482177734
loss/val_denorm_lead_var/so/lead_01,10,1782882833.9452872,0.009693277068436146
loss/val_denorm_lead_var/thetao/lead_01,10,1782882833.91025,0.03934793919324875
loss/val_denorm_lead_var/uo/lead_01,10,1782882833.979164,0.010988385416567326
loss/val_denorm_lead_var/vo/lead_01,10,1782882834.0152051,0.011525947600603104
loss/val_denorm_lead_var/zos/lead_01,10,1782882833.8710673,0.007914600893855095
loss/val_denorm_var/siconc,10,1782882833.4828897,0.0040079629980027676
loss/val_denorm_var/sithick,10,1782882833.6039798,0.005483150482177734
loss/val_denorm_var/so,10,1782882833.9272957,0.009693277068436146
loss/val_denorm_var/thetao,10,1782882833.8942707,0.03934793919324875
loss/val_denorm_var/uo,10,1782882833.9617977,0.010988385416567326
loss/val_denorm_var/vo,10,1782882833.9959247,0.011525947600603104
loss/val_denorm_var/zos,10,1782882833.8478854,0.007914600893855095
loss/val_lead/lead_01,10,1782882833.4828682,0.0013226756127551198
loss/val_lead_var/siconc/lead_01,10,1782882833.483496,0.004007959272712469
loss/val_lead_var/sithick/lead_01,10,1782882833.6101968,0.0007194135105237365
loss/val_lead_var/so/lead_01,10,1782882833.9330356,0.00030006133602000773
loss/val_lead_var/thetao/lead_01,10,1782882833.8993988,0.0011728941462934017
loss/val_lead_var/uo/lead_01,10,1782882833.9672492,0.005331398453563452
loss/val_lead_var/vo/lead_01,10,1782882834.0024853,0.005732373800128698
loss/val_lead_var/zos/lead_01,10,1782882833.8549273,0.002041255123913288
loss/val_norm,10,1782882833.4828377,0.0013226756127551198
loss/val_norm_lead/lead_01,10,1782882833.4828725,0.0013226756127551198
loss/val_norm_lead_var/siconc/lead_01,10,1782882833.5776162,0.004007959272712469
loss/val_norm_lead_var/sithick/lead_01,10,1782882833.6164722,0.0007194135105237365
loss/val_norm_lead_var/so/lead_01,10,1782882833.9385128,0.00030006133602000773
loss/val_norm_lead_var/thetao/lead_01,10,1782882833.905019,0.0011728941462934017
loss/val_norm_lead_var/uo/lead_01,10,1782882833.9733882,0.005331398453563452
loss/val_norm_lead_var/vo/lead_01,10,1782882834.0095632,0.005732373800128698
loss/val_norm_lead_var/zos/lead_01,10,1782882833.8624701,0.002041255123913288
loss/val_norm_var/siconc,10,1782882833.4828854,0.004007959272712469
loss/val_norm_var/sithick,10,1782882833.5965667,0.0007194135105237365
loss/val_norm_var/so,10,1782882833.9215255,0.00030006133602000773
loss/val_norm_var/thetao,10,1782882833.8875606,0.0011728941462934017
loss/val_norm_var/uo,10,1782882833.9565234,0.005331398453563452
loss/val_norm_var/vo,10,1782882833.9903233,0.005732373800128698
loss/val_norm_var/zos,10,1782882833.8406951,0.002041255123913288
loss/val_var/siconc,10,1782882833.482881,0.004007959272712469
loss/val_var/sithick,10,1782882833.5895672,0.0007194135105237365
loss/val_var/so,10,1782882833.9161196,0.00030006133602000773
loss/val_var/thetao,10,1782882833.879381,0.0011728941462934017
loss/val_var/uo,10,1782882833.9511275,0.005331398453563452
loss/val_var/vo,10,1782882833.9849498,0.005732373800128698
loss/val_var/zos,10,1782882833.629709,0.002041255123913288
loss/train,11,1782883130.2676394,0.0012920692097395658
loss/train,12,1782883426.5252025,0.0012764931889250875
loss/train,13,1782883723.5324001,0.0012741549871861935
loss/train,14,1782884019.4260015,0.0012535866117104888
loss/ema_val,15,1782884382.4916239,0.0012822455028072
loss/ema_val_denorm,15,1782884382.4916303,0.015453818254172802
loss/train,15,1782884319.1735811,0.0012360604014247656
loss/val,15,1782884382.4915793,0.0012477104319259524
loss/val_denorm,15,1782884382.4916184,0.01535931508988142
loss/val_denorm_lead/lead_01,15,1782884382.491645,0.01535931508988142
loss/val_denorm_lead_var/siconc/lead_01,15,1782884382.5064814,0.003553158836439252
