var,lev,mean,std,min,max,count
vo,266.0403137,0.001089253,0.078838015,-1.331564784,1.513349295,350146457
vo,318.1274109,0.001056015,0.075314669,-1.284066319,1.416563153,347215406
vo,380.2130127,0.000964062,0.071367144,-1.212644458,1.305547953,344576547
vo,453.9377136,0.000855777,0.067284366,-1.153714061,1.177738905,341618103
vo,541.0889282,0.000607876,0.062867242,-1.093164563,1.077142239,338750969
vo,643.5667725,0.000431477,0.058264601,-1.027002931,0.992156744,336312992
usi,,0.000182506,0.043178172,-0.765550613,0.790100038,390322857
vsi,,0.000748839,0.040657173,-0.918616652,0.834081531,390322857
zos,,-0.180508924,0.715687092,-2.073964119,1.803355575,390377643
so,0.494024992,34.07291682,2.340436815,0.001796343,40.38606262,390377643
so,2.645668983,34.08275931,2.321110336,0.001796343,40.38606262,390377643
so,5.078224182,34.09769889,2.28875122,0.001796343,40.38605118,390377643
so,7.929560184,34.15837997,2.091157138,1.587123036,40.38605118,388131417
so,11.40499973,34.20858869,1.960716231,2.438566685,40.38605118,386661326
so,15.81007004,34.26350481,1.839895105,2.452564955,40.38605118,385209497
so,21.59881973,34.32558944,1.74071539,2.469889164,40.38589478,383237201
so,29.44473076,34.39309074,1.647797328,2.475108147,40.38663101,380899665
so,40.34405136,34.47737597,1.536422019,2.655431509,40.38156128,377575981
so,55.76428986,34.57914947,1.407732395,2.962460995,40.35092163,373056136
so,77.85385132,34.68786635,1.281706201,3.382159233,40.37015915,368636732
so,92.32607269,34.74603796,1.184707941,5.756673336,40.38214493,366344851
so,109.7293015,34.79824718,1.093088494,9.390247345,40.58923721,363651206
so,130.6660004,34.83913174,1.010666577,19.48854065,40.6916008,361076264
so,155.8506927,34.86082027,0.944027345,19.81591988,40.77139282,358729597
so,186.1255951,34.86225511,0.873492363,20.34562874,40.84420013,355908118
so,222.4752045,34.84739684,0.809298792,20.73740005,40.80294037,352904019
so,266.0403137,34.81989812,0.75428638,21.17720413,40.78359985,350155588
so,318.1274109,34.78258428,0.710866833,21.50563812,40.77577972,347224537
so,380.2130127,34.73704926,0.675682422,21.65028381,40.7746315,344585678
so,453.9377136,34.69066588,0.64121885,21.79944992,40.77322769,341645496
so,541.0889282,34.64936942,0.611583256,21.94478416,40.77177048,338778362
so,643.5667725,34.62073908,0.580271676,22.06075287,40.78058624,336312992
